Programa,Tipo de regra,Prescrição da regra,Regra de alerta,codes,Gravidade,Gravidade Code,Origem,Composta,Questionnnaire code
Doente Renal Crónico,Composta,Parâmetro biométrico,100 mmHg > PA diastólica,DIABLOPRE-BPOC_LESS-100,Moderado,BPOC_AVERAGE,Novo,9,
,,,PA diastólica <= 110 mmHg,DIABLOPRE-BPOC_LESSEQUAL-110,,,,9,
Doente Renal Crónico,Simples,Parâmetro biométrico,PA diastólica > 110 mmHg,DIABLOPRE-BPOC_GREATER-110,Grave,BPOC_HIGH,Novo,10,
Doente Renal Crónico,Simples,Parâmetro biométrico,Frequência de pulso < 40 ppm,HEARTRATE-BPOC_LESS-40,Grave,BPOC_HIGH,Novo,11,
Doente Renal Crónico,Composta,Parâmetro biométrico,40 ppm >= Frequência de pulso < 50 ppm,Moderado,Leve,,Novo,PULMONARY-ONCOLOGY,
Doente Renal Crónico,Composta,Parâmetro biométrico,100 ppm > Frequência de pulso <=120 ppm,Moderado,Moderado,,Novo,PULMONARY-ONCOLOGY,
Doente Renal Crónico,Simples,Parâmetro biométrico,Frequência de pulso > 120 ppm,Grave,Grave,,Novo,PULMONARY-ONCOLOGY,
Doente Renal Crónico,Simples,Parâmetro biométrico,Débito urinário < 250mL,Grave,Moderado,,Igual a DRC,PULMONARY-ONCOLOGY,
Doente Renal Crónico,Composta,Parâmetro biométrico,500mL >= Débito urinário < 1000mL,Moderado,Novo,,Novo,PULMONARY-ONCOLOGY,
Doente Renal Crónico,Simples,Questionário,Sente cansaço em pequenos esforços? =Sim,Leve,Novo,,Novo,PULMONARY-ONCOLOGY,
Doente Renal Crónico,Simples,Questionário,"Comparado com o seu habitual, na última semana sentiu os pés ou pernas mais inchadas? =Sim",Leve,Novo,,Novo,PULMONARY-ONCOLOGY,
Doente Renal Crónico,Simples,Questionário,"Comparado com o seu habitual, nos últimos sete dias, notou que urina menos? =Sim",Leve,Novo,,Novo,PULMONARY-ONCOLOGY,
Doente Renal Crónico,Simples,Questionário,"Comparado com o seu habitual, nos últimos sete dias sentiu mais dificuldade a respirar quando estava deitado? =Sim",Leve,Novo,,Novo,PULMONARY-ONCOLOGY,
Doente Renal Crónico,Simples,Questionário,"Comparado com o seu habitual, na última semana sentiu necessidade de dormir inclinado ou sentado?=Sim",Moderado,Novo,,Novo,PULMONARY-ONCOLOGY,
Doente Renal Crónico,Simples,Questionário,"Comparado com o seu habitual, na última semana acordou de noite com falta de ar?=Sim",Grave,Novo,,Novo,PULMONARY-ONCOLOGY,
Doente Renal Crónico,Simples,Questionário,"Como classifica a sua dificuldade em respirar? (1 - Sem dificuldade / 5 - Muita dificuldade)=3
",QUES0061-BPOC_EQUAL-THREE,Leve,BPOC_LOW,Novo,12,CHRONIC-KIDNEY-DISEASE-QUEST
Doente Renal Crónico,Simples,Questionário,"Como classifica a sua dificuldade em respirar? (1 - Sem dificuldade / 5 - Muita dificuldade)=4
",QUES0061-BPOC_EQUAL-FOUR,Moderado,BPOC_AVERAGE,Novo,13,CHRONIC-KIDNEY-DISEASE-QUEST
Doente Renal Crónico,Simples,Questionário,"Como classifica a sua dificuldade em respirar? (1 - Sem dificuldade / 5 - Muita dificuldade)=5
",QUES0061-BPOC_EQUAL-FIVE,Grave,BPOC_HIGH,Novo,14,CHRONIC-KIDNEY-DISEASE-QUEST
Doente Renal Crónico,Composta,Questionário,"Nos últimos 3 dias, tomou anti-inflamatórios como ibuprofeno ou diclofenac? = Sim",QUES0026-BPOC_EQUAL-YES,Moderado,BPOC_AVERAGE,Igual a DRC,15,CHRONIC-KIDNEY-DISEASE-QUEST
Doente Renal Crónico,Composta,Questionário,"Comparado com o seu habitual, na última semana sentiu os pés ou pernas mais inchadas? =Sim",QUES0001-BPOC_EQUAL-YES,Moderado,BPOC_AVERAGE,Igual a DRC,15,CHRONIC-KIDNEY-DISEASE-QUEST
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
