,,,,,,Parâmetros por defeito quando exercício introduzido isoladamente (editável),,,,,"Filtro ""Equipamento""",,,"Filtro ""Movimento""","Categoria ""Região""",,
10,Técnica Sons Fricativos  - Emissão contínua surdo/sonoro,"Sons fricativos ajudam no fluxo aéreo, fonação e apoio respiratório suave","Sente-se com a coluna reta, inspire pelo nariz expandindo o diafragma, com as mãos abaixo das costelas. Expire pela boca e emita, sem esforço e de forma contínua, os sons surdos “S, X, F” e sonoros “Z, J, V”, intercalando-os durante a expiração",,Imagen,1,5,,,,0,1,,Multimovimento,Cervical,Sentado,Reabilitação vocal
11,Técnica Sons Fricativos  - Unidades fonatórias,"Sons fricativos ajudam no fluxo aéreo, fonação e apoio respiratório suave","Sente-se com a coluna reta, inspire pelo nariz expandindo o diafragma, com as mãos abaixo das costelas. Expire pela boca e emita os mesmos sons em unidades fonatórias, fazendo pequenas pausas entre eles para melhor controlo da respiração e articulação",,Imagen,1,5,,,,0,1,,Multimovimento,Cervical,Sentado,Reabilitação vocal
12,Técnica Sons Fricativos  - Emissão surdo/sonoro tempo máximo,"Sons fricativos ajudam no fluxo aéreo, fonação e apoio respiratório suave","Sente-se com a coluna reta, inspire pelo nariz expandindo o diafragma, com as mãos abaixo das costelas. Expire pela boca e emita sons de forma alternada entre surdo e sonoro, durante o máximo de tempo possível, passando suavemente de um para o outro, sem pausas.",,Imagen,1,5,,,,0,1,,Multimovimento,Cervical,Sentado,Reabilitação vocal
13,Técnica Sons Fricativos  - Emissão surdo/sonoro curta duração,"Sons fricativos ajudam no fluxo aéreo, fonação e apoio respiratório suave","Sente-se com a coluna reta, inspire pelo nariz expandindo o diafragma, com as mãos abaixo das costelas. Expire pela boca e emita sons alternados surdos e sonoros, de curta duração, focando no controlo da respiração e na transição suave entre os sons para melhorar a coordenação vocal e o apoio respiratório.",,Imagen,1,5,,,,0,1,,Multimovimento,Cervical,Sentado,Reabilitação vocal
14,Técnica Sons Fricativos  - Emissão surdo/sonoro em glissando,"Sons fricativos ajudam no fluxo aéreo, fonação e apoio respiratório suave","Sente-se com a coluna reta, inspire pelo nariz expandindo o diafragma, com as mãos abaixo das costelas. Expire pela boca e emita cada um dos sons fricativos surdos “S, X, F” e sonoros “Z, J, V” em glissando, começando com baixa intensidade e aumentando progressivamente, sem esforço.",,Imagen,1,5,,,,0,1,,Multimovimento,Cervical,Sentado,Reabilitação vocal
15,Técnica Sons Vibrantes  - Tempo fonação máxima,Sons através da vibração da língua (“Trrr”) ou lábios (“Brrr”) para uma emissão equilibrada,"Sente-se com a coluna reta, inspire pelo nariz expandindo o diafragma, com as mãos abaixo das costelas. Expire pela boca e emita, no tempo máximo de fonação, a vibração sonorizada dos lábios (“Brrr”) e da língua (“Trrr”), mantendo uma emissão suave, controlada e sem esforço.",,Imagen,1,5,,,,0,1,,Multimovimento,Cervical,Sentado,Reabilitação vocal
16,Técnica Sons Vibrantes  - Unidades fonatórias,Sons através da vibração da língua (“Trrr”) ou lábios (“Brrr”) para uma emissão equilibrada,"Sente-se com a coluna reta, inspire pelo nariz expandindo o diafragma, com as mãos abaixo das costelas. Expire pela boca e emita os sons em unidades fonatórias, fazendo pequenas pausas entre cada emissão para melhor controle da respiração e articulação,",,Imagen,1,5,,,,0,1,,Multimovimento,Cervical,Sentado,Reabilitação vocal
17,Técnica Sons Vibrantes  - Emissão em escala,Sons através da vibração da língua (“Trrr”) ou lábios (“Brrr”) para uma emissão equilibrada,"Sente-se com a coluna reta, inspire pelo nariz expandindo o diafragma, com as mãos abaixo das costelas. Expire pela boca e emita a vibração em escala, subindo e descendo gradualmente a entoação.",,"Uma imagem com captura de ecrã, azul, Azul elétrico, file

Descrição gerada automaticamente",1,5,,,,0,1,,Multimovimento,Cervical,Sentado,Reabilitação vocal
18,Técnica Mastigatória- Emissão de sequência de sílabas,Mastigar ativamente com boca aberta e emitir sons; pode usar pastilha elástica.,"Sente-se com a coluna reta, inspire pelo nariz expandindo o diafragma, com as mãos abaixo das costelas. Expire pela boca e emita sons enquanto mastiga com movimentos amplos de lábios, mandíbula, língua e bochechas, repetindo sequências de sílabas de forma articulada e ritmada.",,Imagen,1,5,,,,0,1,,Multimovimento,Cervical,Sentado,Reabilitação vocal
19,Técnica Mastigatória-Movimentos mastigatórios com contagem,Mastigar ativamente com boca aberta e emitir sons; pode usar pastilha elástica.,"Sente-se com a coluna reta, inspire pelo nariz expandindo o diafragma, com as mãos abaixo das costelas. Expire pela boca e emita sons enquanto mastiga com movimentos amplos de lábios, mandíbula, língua e bochechas. Exagere os movimentos e conte até 20, inspirando profundamente após o número 10.",,"1  2  3   4   5   6   7   8   9   10 Inspira 11  12
  13  14  15  16  17  18  19  20",1,5,,,,0,1,,Multimovimento,Cervical,Sentado,Reabilitação vocal
20,Técnica Mastigatória-Mastigar a produzir frases,Mastigar ativamente com boca aberta e emitir sons; pode usar pastilha elástica.,"Sente-se com a coluna reta, inspire pelo nariz expandindo o diafragma, com as mãos abaixo das costelas. Expire pela boca e emita sons enquanto mastiga com movimentos amplos de lábios, mandíbula, língua e bochechas. Mastigue e produza, em voz clara, as seguintes frases em sequência.",,Imagen,1,5,,,,0,1,,Multimovimento,Cervical,Sentado,Reabilitação vocal
21,Test,test,test,test,,2,4,,,,0,1,,,,,Teste
